,model_number,name,manufacturer,cores,tdp,base_frequency,socket,memory_type,ecc_Compatability,architecture,wattage,clock
199,6141,7th Gen A10-9600P APU,amd,4,15,2400,FP4,DDR4,FALSE,x64,15,28
200,8226,7th Gen A9-9425 APU,amd,2,15,3100,,DDR4,FALSE,x64,15,28
201,2126,7th Gen A9-9420 APU,amd,2,15,3000,,DDR4,FALSE,x64,15,28
202,2051,7th Gen A9-9410 APU,amd,2,10,2900,,DDR4,FALSE,x64,10,28
203,8231,7th Gen A6-9225 APU,amd,2,15,2600,,DDR4,FALSE,x64,15,28
204,2131,7th Gen A6-9220 APU,amd,2,15,2500,,DDR4,FALSE,x64,15,28
205,8361,7th Gen A6-9220C APU,amd,2,6,1800,FT4,,FALSE,x64,6,28
206,2056,7th Gen A6-9210 APU,amd,2,15,2400,,DDR4,FALSE,x64,15,28
207,8396,7th Gen A4-9125 APU,amd,2,15,2300,,,FALSE,x64,15,28
208,2136,7th Gen A4-9120 APU,amd,2,15,2200,,DDR4,FALSE,x64,15,28
209,8366,7th Gen A4-9120C APU,amd,2,6,1600,FT4,,FALSE,x64,6,28
210,6171,7th Gen AMD PRO A12-9800 APU,amd,4,65,3800,AM4,DDR4,FALSE,x64,65,28
211,6176,7th Gen AMD PRO A12-9800E APU,amd,4,35,3100,AM4,DDR4,FALSE,x64,35,28
212,6161,7th Gen AMD PRO A10-9700 APU,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,28
213,6166,7th Gen AMD PRO A10-9700E APU,amd,4,35,3000,AM4,DDR4,FALSE,x64,35,28
214,6191,7th Gen AMD PRO A8-9600 APU,amd,4,65,3100,AM4,DDR4,FALSE,x64,65,28
215,6181,7th Gen AMD PRO A6-9500 APU,amd,2,65,3500,AM4,DDR4,FALSE,x64,65,28
216,6186,7th Gen AMD PRO A6-9500E APU,amd,2,35,3000,AM4,DDR4,FALSE,x64,35,28
217,6196,7th Gen AMD PRO A12-9830B APU,amd,4,35,3000,FP4,DDR4,FALSE,x64,35,28
218,6201,7th Gen AMD PRO A12-9800B APU,amd,4,15,2700,FP4,DDR4,FALSE,x64,15,28
219,6206,7th Gen AMD PRO A10-9730B APU,amd,4,35,2800,FP4,DDR4,FALSE,x64,35,28
220,6211,7th Gen AMD PRO A10-9700B APU,amd,4,15,2500,FP4,DDR4,FALSE,x64,15,28
221,6216,7th Gen AMD PRO A8-9630B,amd,4,35,2600,FP4,DDR4,FALSE,x64,35,28
222,6221,7th Gen AMD PRO A8-9600B APU,amd,4,15,2400,FP4,DDR4,FALSE,x64,15,28
223,6226,7th Gen AMD PRO A6-9500B APU,amd,2,15,2300,FP4,DDR4,FALSE,x64,15,28
224,6116,7th Gen FX 9830P APU,amd,4,35,3000,FP4,DDR4,FALSE,x64,35,28
225,6121,7th Gen FX 9800P APU,amd,4,15,2700,FP4,DDR4,FALSE,x64,15,28
226,2141,7th Gen E2-9010 APU,amd,2,15,200,,DDR4,FALSE,x64,15,28
227,5921,6th Gen A10-8700P APU,amd,4,15,1800,FP4,DDR3,FALSE,x64,15,28
228,5926,6th Gen A8-8600P APU,amd,4,15,1600,FP4,DDR3,FALSE,x64,15,28
229,6231,6th Gen AMD PRO A12-8870 APU,amd,4,65,3700,AM4,DDR4,FALSE,x64,65,28
230,6146,6th Gen AMD PRO A12-8870E APU,amd,4,35,2900,AM4,DDR4,FALSE,x64,35,28
231,6031,6th Gen AMD PRO A10-8850B APU,amd,4,95,3900,FM2+,DDR3,FALSE,x64,95,28
232,6236,6th Gen AMD PRO A10-8770 APU,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,28
